(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
1-octadecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	LAYXSTYJRSVXIH-HXUWFJFHSA-L
1-tetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCC/C=C\CCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	ABWKYTQKHWCOFM-XITLMJRVSA-L
1-tetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]	FAZBDRGXCKPVJU-MRXNPFEDSA-L
10-Formyltetrahydrofolate	Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2	AUFGTPPARQZWDO-YPMHNXCESA-L
1D-myo-Inositol 1-phosphate	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	INAPMGSXUVUWAF-UOTPTPDRSA-L
2 Deoxy D glucose	OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O	PMMURAAUARKVCB-ZXXMMSQZSA-N
2 Deoxy D glucose 6 phosphate	O=CC[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	MBPFNOMGYSRGQZ-PBXRRBTRSA-N
2',3'-Cyclic	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OP(=O)([O-])O[C@H]21	KMYWVDDIPVNLME-KQYNXXCUSA-M
2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O[C@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS	NFWZJXFBUKDGOX-HWCXJHOSSA-H
2(alpha-D-Mannosyl)-D-glycerate	O=C([O-])[C@@H](CO)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	DDXCFDOPXBPUJC-SAYMMRJXSA-M
2(alpha-D-Mannosyl-6-phosphate)-D-glycerate	O=C([O-])[C@@H](CO)O[C@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1O	BOLXAGHGKNGVBE-MTXRGOKVSA-K
2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	KVJWZTLXIROHIL-QDORLFPLSA-J
2,3,4,5-Tetrahydrodipicolinate	O=C([O-])C1=N[C@H](C(=O)[O-])CCC1	CXMBCXQHOXUCEO-BYPYZUCNSA-L
2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	HEHQDWUWJVPREQ-XQJZMFRCSA-L
2,3-Dihydro-2,3-dihydroxybenzoate	O=C([O-])C1=CC=C[C@H](O)[C@H]1O	INCSWYKICIYAHB-WDSKDSINSA-M
2,3-Dihydrodipicolinate	O=C([O-])C1=N[C@H](C(=O)[O-])CC=C1	UWOCFOFVIBZJGH-YFKPBYRVSA-L
2,3-Dihydroxybenzoate	O=C([O-])c1cccc(O)c1O	GLDQAMYCGOIJDV-UHFFFAOYSA-M
2,3-Dihydroxypropane-1-sulfonate	C(C(CS(=O)(=O)[O-])O)O	YPFUJZAAZJXMIP-UHFFFAOYSA-M
2,3-Dioxo-L-gulonate	O=C([O-])C(=O)C(=O)[C@H](O)[C@@H](O)CO	GJQWCDSAOUMKSE-STHAYSLISA-M
2,3-dehydroadipyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C\CCC(=O)[O-]	ZFXICKRXPZTFPB-FZHFFJAKSA-I
