(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
L-Cystathionine	[NH3+][C@@H](CCSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	ILRYLPWNYFXEMH-WHFBIAKZSA-N
L-Cysteine	NC(CS)C(=O)O	XUJNEKJLAYXESH-UHFFFAOYSA-N
L-Fucose	C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O	PNNNRSAQSRJVSB-KCDKBNATSA-N
L-Fuculose 1-phosphate	C[C@H](O)[C@@H](O)[C@@H](O)C(=O)COP(=O)([O-])[O-]	KNYGWWDTPGSEPD-LFRDXLMFSA-L
L-Galactonate	O=C([O-])[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO	RGHNJXZEOKUKBD-RSJOWCBRSA-M
L-Glutamate	[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]	WHUUTDBJXJRKMK-VKHMYHEASA-M
L-Glutamate 1-semialdehyde	[NH3+][C@H](C=O)CCC(=O)[O-]	MPUUQNGXJSEWTF-BYPYZUCNSA-N
L-Glutamate 5-phosphate	[NH3+][C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]	PJRXVIJAERNUIP-VKHMYHEASA-L
L-Glutamate 5-semialdehyde	[NH3+][C@@H](CCC=O)C(=O)[O-]	KABXUUFDPUOJMW-BYPYZUCNSA-N
L-Glutamine	NC(=O)CC[C@H]([NH3+])C(=O)[O-]	ZDXPYRJPNDTMRX-VKHMYHEASA-N
L-Histidine	NC(Cc1c[n-]cn1)C(=O)[O-]	TWRZMXZXJKNOLO-UHFFFAOYSA-L
L-Histidinol	[NH3+][C@H](CO)Cc1c[nH]cn1	ZQISRDCJNBUVMM-YFKPBYRVSA-O
L-Histidinol phosphate	[NH3+][C@H](COP(=O)([O-])[O-])Cc1c[nH]cn1	CWNDERHTHMWBSI-YFKPBYRVSA-M
L-Homocysteine	[NH3+][C@@H](CCS)C(=O)[O-]	FFFHZYDWPBMWHY-VKHMYHEASA-N
L-Homoserine	[NH3+][C@@H](CCO)C(=O)[O-]	UKAUYVFTDYCKQA-VKHMYHEASA-N
L-Idonate	O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	RGHNJXZEOKUKBD-SKNVOMKLSA-M
L-Isoleucine	CC[C@H](C)[C@H]([NH3+])C(=O)[O-]	AGPKZVBTJJNPAG-WHFBIAKZSA-N
L-Lactaldehyde	CC(O)C=O	BSABBBMNWQWLLU-UHFFFAOYSA-N
L-Lactate	C[C@H](O)C(=O)[O-]	JVTAAEKCZFNVCJ-REOHCLBHSA-M
L-Leucine	CC(C)C[C@H]([NH3+])C(=O)[O-]	ROHFNLRQFUQHCH-YFKPBYRVSA-N
L-Lysine	[NH3+]CCCC[C@H]([NH3+])C(=O)[O-]	KDXKERNSBIXSRK-YFKPBYRVSA-O
L-Lyxose	O[C@H]1CO[C@H](O)[C@H](O)[C@@H]1O	SRBFZHDQGSBBOR-RSJOWCBRSA-N
L-Malate	O=C([O-])C[C@H](O)C(=O)[O-]	BJEPYKJPYRNKOW-REOHCLBHSA-L
L-Methionine	CSCCC(N)C(=O)O	FFEARJCKVFRZRR-UHFFFAOYSA-N
L-Methionine Sulfoxide	CS(=O)CC[C@H](N)C(=O)O	QEFRNWWLZKMPFJ-YGVKFDHGSA-N
L-Phenylalanine	[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]	COLNVLDHVKWLRT-QMMMGPOBSA-N
L-Proline	O=C([O-])[C@@H]1CCC[NH2+]1	ONIBWKKTOPOVIA-BYPYZUCNSA-N
L-Prolinylglycine	O=C([O-])CNC(=O)[C@@H]1CCC[NH2+]1	RNKSNIBMTUYWSH-YFKPBYRVSA-N
L-Rhamnose	C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O	SHZGCJCMOBCMKK-JFNONXLTSA-N
L-Rhamnulose	C[C@H](O)[C@H](O)[C@@H](O)C(=O)CO	QZNPNKJXABGCRC-FUTKDDECSA-N
L-Rhamnulose 1-phosphate	C[C@H](O)[C@H](O)[C@@H](O)C(=O)COP(=O)([O-])[O-]	KNYGWWDTPGSEPD-FUTKDDECSA-L
L-Ribulose	O=C(CO)[C@@H](O)[C@@H](O)CO	ZAQJHHRNXZUBTE-UCORVYFPSA-N
L-Ribulose 5-phosphate	O=C(CO)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-]	FNZLKVNUWIIPSJ-CRCLSJGQSA-L
L-Serine	NC(CO)C(=O)O	MTCFGRXMJLQNBG-UHFFFAOYSA-N
L-Threonine	C[C@@H](O)[C@H]([NH3+])C(=O)[O-]	AYFVYJQAPQTCCC-GBXIJSLDSA-N
L-Threonine O-3-phosphate	C[C@@H](OP(=O)([O-])[O-])[C@H]([NH3+])C(=O)[O-]	USRGIUJOYOXOQJ-GBXIJSLDSA-L
L-Tryptophan	[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	QIVBCDIJIAJPQS-VIFPVBQESA-N
L-Tyrosine	[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]	OUYCCCASQSFEME-QMMMGPOBSA-N
L-Valine	CC(C)[C@H]([NH3+])C(=O)[O-]	KZSNJWFQEVHDMF-BYPYZUCNSA-N
L-Xylulose	O=C(CO)[C@H](O)[C@@H](O)CO	ZAQJHHRNXZUBTE-WVZVXSGGSA-N
L-Xylulose 5-phosphate	O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]	FNZLKVNUWIIPSJ-WHFBIAKZSA-L
L-alanine-D-glutamate	C[C@H]([NH3+])C(=O)N[C@H](CCC(=O)[O-])C(=O)[O-]	VYZAGTDAHUIRQA-CRCLSJGQSA-M
L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	CC([NH3+])C(=O)NC(CCCC(NC(=O)CCC(NC(=O)C(C)[NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]	BAPAFFOXTCMVCC-UHFFFAOYSA-M
L-alanine-L-glutamate	C[C@H]([NH3+])C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	VYZAGTDAHUIRQA-WHFBIAKZSA-M
L-ascorbate-6-phosphate	O=C1O[C@H]([C@@H](O)COP(=O)([O-])[O-])C([O-])=C1O	KIENGQUGHPTFGC-JLAZNSOCSA-K
L-fuculose	C[C@H](O)[C@@H](O)[C@@H](O)C(=O)CO	QZNPNKJXABGCRC-LFRDXLMFSA-N
L-methionine-R-sulfoxide	C[S@@](=O)CC[C@H]([NH3+])C(=O)[O-]	QEFRNWWLZKMPFJ-ZXPFJRLXSA-N
L-seryl-AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)[C@@H](N)CO)[C@@H](O)[C@H]1O	UVSYURUCZPPUQD-MACXSXHHSA-M
L-tartrate	O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-]	FEWJPZIEWOKRBE-JCYAYHJZSA-L
LL-2,6-Diaminoheptanedioate	[NH3+][C@@H](CCC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]	GMKMEZVLHJARHF-WHFBIAKZSA-N
Lactose	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	GUBGYTABKSRVRQ-DCSYEGIMSA-N
Lipid A Disaccharide	CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC	HLDJGHAAKRKPAV-QDORLFPLSA-L
Lipoate	O=C(O)CCCC[C@H]1CCSS1	AGBQKNBQESQNJD-ZETCQYMHSA-N
Lipoprotein	CCCCCCCCCCCCCCCC(=O)NC(CS[*])C([*])=O	
Lipoyl-AMP	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)CCCCC2CCSS2)[C@@H](O)[C@H]1O	QWEGOCJRZOKSOE-NLJBGGCZSA-N
Magnesium	[Mg+2]	JLVVSXFLKOJNIY-UHFFFAOYSA-N
Malonate semialdehyde	O=CCC(=O)[O-]	OAKURXIZZOAYBC-UHFFFAOYSA-M
Malonyl CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]	LTYOQGRJFJAKNA-DVVLENMVSA-I
Malonyl-CoA methyl ester	COC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CHQAJZULNPRMEN-FZEDXVDRSA-J
Malonyl-[acyl-carrier protein]	[*]SC(=O)CC(=O)O	
Maltoheptaose	O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO	ZHZITDGOAFCURV-VVTKTIMZSA-N
Maltohexaose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	OCIBBXPLUVYKCH-QXVNYKTNSA-N
Maltopentaose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	FTNIPWXXIGNQQF-DWTFCAFKSA-N
Maltose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GUBGYTABKSRVRQ-ASMJPISFSA-N
Maltose 6'-phosphate	O=P([O-])([O-])OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	ITPHOIFCAFNCLL-ASMJPISFSA-L
Maltotetraose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	LUEWUZLMQUOBSB-ZLBHSGTGSA-N
Maltotriose	O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO	RXVWSYJTUUKTEA-CGQAXDJHSA-N
Manganese	[Mn+2]	WAEMQWOKJMHJLA-UHFFFAOYSA-N
Melibiose	OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	DLRVVLDZNNYCBX-ZZFZYMBESA-N
Menaquinol 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O	OIEZRVBFVPGODT-WQWYCSGDSA-N
Menaquinone 8	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O	LXKDFTDVRVLXFY-WQWYCSGDSA-N
Mercaptopyruvate	O=C([O-])C(=O)CS	OJOLFAIGOXZBCI-UHFFFAOYSA-M
Mercury  charged 2  Hg	[Hg+2]	BQPIGGFYSBELGY-UHFFFAOYSA-N
Meso-2,6-Diaminoheptanedioate	[NH3+][C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-]	GMKMEZVLHJARHF-SYDPRGILSA-N
Methane	[CH2-2]	PZPOWPOFQLSNJO-UHFFFAOYSA-N
Methanesulfonate	CS(=O)(=O)[O-]	AFVFQIVMOAPDHO-UHFFFAOYSA-M
Methanol	C[O-]	NBTOZLQBSIZIKS-UHFFFAOYSA-N
Methylglyoxal	CC(=O)C=O	AIJULSRZWUXGPQ-UHFFFAOYSA-N
Methylisocitrate	C[C@](O)(C(=O)[O-])[C@H](CC(=O)[O-])C(=O)[O-]	HHKPKXCSHMJWCF-WVBDSBKLSA-K
Minocycline	CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	DYKFCLLONBREIL-KVUCHLLUSA-N
Molybdate	O=[Mo](=O)([O-])O	NIBXJCYCRLUCEJ-UHFFFAOYSA-M
Molybdenum cofactor	[*]S[Mo]1(=O)(O)SC2=C(S1)[C@@H]1Nc3c(nc(N)[nH]c3=O)N[C@@H]1O[C@@H]2COP(=O)([O-])[O-]	
Molybdopterin	Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])[O-])O[C@H]1N2	HPEUEJRPDGMIMY-IFQPEPLCSA-K
Molybdopterin cytosine dinucleotide	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@H]4Nc5nc(N)[nH]c(=O)c5N[C@H]4C(S)=C3S)[C@@H](O)[C@H]2O)c(=O)n1	WKSPNQYEWZEMMI-FEFZDOOUSA-N
Molybdopterin guanine dinucleotide	Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)O[C@H]1N2	VQAGYJCYOLHZDH-ILXWUORBSA-N
Myo-Inositol	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	CDAISMWEOUEBRE-GPIVLXJGSA-N
Myo-Inositol hexakisphosphate	O=P([O-])([O-])O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1OP(=O)([O-])[O-]	IMQLKJBTEOYOSI-GPIVLXJGSA-B
N(omega)-(L-Arginino)succinate	N=C(NCCC[C@H](N)C(=O)O)N[C@@H](CC(=O)O)C(=O)O	KDZOASGQNOPSCU-WDSKDSINSA-N
N,N'-diacetylchitobiose	CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O	CDOJPCSDOXYJJF-CBTAGEKQSA-N
N-((R)-4-Phosphopantothenoyl)-L-cysteine	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-]	XQYALQVLCNHCFT-CBAPKCEASA-K
N-(5-Phospho-D-ribosyl)anthranilate	O=C([O-])c1ccccc1N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	PMFMJXPRNJUYMB-GWOFURMSSA-K
N-3-aminopropyl-1,5-diaminopentane	[NH3+]CCCCC[NH2+]CCC[NH3+]	QZBYOYPROVGOGE-UHFFFAOYSA-Q
N-Acetyl-D-galactosamine	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O	OVRNDRQMDRJTHS-KEWYIRBNSA-N
N-Acetyl-D-galactosamine 1-phosphate	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO)[C@H](O)[C@@H]1O	FZLJPEPAYPUMMR-JAJWTYFOSA-L
N-Acetyl-D-glucosamine	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	OVRNDRQMDRJTHS-RTRLPJTCSA-N
N-Acetyl-D-glucosamine 1-phosphate	CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O	FZLJPEPAYPUMMR-RTRLPJTCSA-N
N-Acetyl-D-glucosamine 6-phosphate	[H]O[C@@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])N([H])C(=O)C([H])([H])[H]	BRGMHAYQAZFZDJ-PVFLNQBWSA-N
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	CC(=O)NC1=COC(CO)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C1OC(C)C(=O)[O-]	VWOAYOXNDDJRIH-UHFFFAOYSA-M
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide	CC(=O)NC1=COC(CO)C(OC2OC(CO)C(O)C(O)C2NC(C)=O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC(N)C(=O)O)C(=O)O	ZWZMFRJKRXDGBE-UHFFFAOYSA-N
N-Acetyl-D-mannosamine	CC(=O)N[C@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO	MBLBDJOUHNCFQT-WCTZXXKLSA-N
N-Acetyl-D-mannosamine 6-phosphate	CC(=O)N[C@@H]1[C@@H](O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O	BRGMHAYQAZFZDJ-UOLFYFMNSA-N
N-Acetyl-L-glutamate	CC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	RFMMMVDNIPUKGG-YFKPBYRVSA-L
N-Acetyl-L-glutamate 5-semialdehyde	CC(=O)N[C@@H](CCC=O)C(=O)[O-]	BCPSFKBPHHBDAI-LURJTMIESA-M
N-Acetyl-L-glutamyl 5-phosphate	CC(=O)N[C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]	FCVIHFVSXHOPSW-YFKPBYRVSA-K
N-Acetylanthranilate	CC(=O)Nc1ccccc1C(=O)[O-]	QSACCXVHEVWNMX-UHFFFAOYSA-M
N-Acetylmethionine	CC(=O)NC(CCSC)C(=O)O	XUYPXLNMDZIRQH-LURJTMIESA-N
N-Acetylmuramate	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)[O-]	MNLRQHMNZILYPY-MKFCKLDKSA-M
N-Acetylneuraminate	CC(=O)N[C@@H]1[C@@H](O)C[C@@](O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO	SQVRNKJHWKZAKO-PFQGKNLYSA-M
N-Carbamoyl-L-aspartate	NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	HLKXYZVTANABHZ-REOHCLBHSA-L
N-Methyltryptophan	Cc1[nH]c2ccccc2c1C[C@H]([NH3+])C(=O)[O-]	BXJSOEWOQDVGJW-JTQLQIEISA-N
N-Succinyl-2-L-amino-6-oxoheptanedioate	O=C([O-])CCC(=O)N[C@@H](CCCC(=O)C(=O)[O-])C(=O)[O-]	SDVXSCSNVVZWDD-LURJTMIESA-K
N-Succinyl-LL-2,6-diaminoheptanedioate	[NH3+][C@@H](CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-])C(=O)[O-]	GLXUWZBUPATPBR-BQBZGAKWSA-L
N-acetylmuramate 6-phosphate	CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O	NMEMTQKUEVNSPV-MKFCKLDKSA-N
N1-(5-Phospho-D-ribosyl)glycinamide	NCC(=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	OBQMLSFOUZUIOB-HJZCUYRDSA-N
N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	Cc1cc2ncn([C@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2cc1C	ZMRGXEJKZPRBPJ-SYQHCUMBSA-L
N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole	Cc1cc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2cc1C	HLRUKOJSWOKCPP-SYQHCUMBSA-N
N1-Acetylspermidine	CC(=O)NCCC[NH2+]CCCC[NH3+]	MQTAVJHICJWXBR-UHFFFAOYSA-P
N2-Acetyl-L-ornithine	CC(=O)N[C@@H](CCC[NH3+])C(=O)[O-]	JRLGPAXAGHMNOL-LURJTMIESA-N
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	O=CNCC(=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	VDXLUNDMVKSKHO-ZRTZXPPTSA-N
N2-Succinyl-L-arginine	NC(=[NH2+])NCCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]	UMOXFSXIFQOWTD-LURJTMIESA-M
N2-Succinyl-L-glutamate	O=C([O-])CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	JCNBNOQGFSXOML-YFKPBYRVSA-K
N2-Succinyl-L-glutamate 5-semialdehyde	O=CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]	XTOKIEIBKARFSZ-LURJTMIESA-L
N2-Succinyl-L-ornithine	[NH3+]CCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]	VWXQFHJBQHTHMK-LURJTMIESA-M
N6-(1,2-Dicarboxyethyl)-AMP	O=C(O)CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O	OFBHPPMPBOJXRT-DPXQIYNJSA-N
N8-Acetylspermidine	CC(=O)NCCCC[NH2+]CCC[NH3+]	FONIWJIDLJEJTL-UHFFFAOYSA-P
NMN	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1	DAYLJWODMCOQEW-TURQNECASA-M
Nickel	[Ni+2]	VEQPNABPJHWNSG-UHFFFAOYSA-N
Nicotinamide	NC(=O)c1cccnc1	DFPAKSUCGFBDDF-UHFFFAOYSA-N
Nicotinamide adenine dinucleotide	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	BAWFJGJZGIEFAR-NNYOXOHSSA-M
Nicotinamide adenine dinucleotide - reduced	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	BOPGDPNILDQYTO-NNYOXOHSSA-L
Nicotinamide adenine dinucleotide phosphate	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1	XJLXINKUBYWONI-NNYOXOHSSA-K
Nicotinamide adenine dinucleotide phosphate - reduced	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	ACFIXJIJDZMPPO-NNYOXOHSSA-J
Nicotinate	O=C([O-])c1cccnc1	PVNIIMVLHYAWGP-UHFFFAOYSA-M
Nicotinate D-ribonucleotide	O=C([O-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1	JOUIQRNQJGXQDC-ZYUZMQFOSA-L
Nitrate	O=[N+]([O-])[O-]	NHNBFGGVMKEFGY-UHFFFAOYSA-N
Nitric oxide	[N]=O	MWUXSHHQAYIFBG-UHFFFAOYSA-N
Nitrite	O=N[O-]	IOVCWXUNBOPUCH-UHFFFAOYSA-M
Nitrous oxide	N#[N+][O-]	GQPLMRYTRLFLPF-UHFFFAOYSA-N
Novobiocin	CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C	YJQPYGGHQPGBLI-KGSXXDOSSA-M
O-Acetyl-L-serine	CC(=O)OC[C@H]([NH3+])C(=O)[O-]	VZXPDPZARILFQX-BYPYZUCNSA-N
O-Phospho-4-hydroxy-L-threonine	[NH3+][C@H](C(=O)[O-])[C@H](O)COP(=O)([O-])[O-]	FKHAKIJOKDGEII-GBXIJSLDSA-L
O-Phospho-L-homoserine	[NH3+][C@@H](CCOP(=O)([O-])[O-])C(=O)[O-]	FXDNYOANAXWZHG-VKHMYHEASA-L
O-Phospho-L-serine	[NH3+][C@@H](COP(=O)([O-])[O-])C(=O)[O-]	BZQFBWGGLXLEPQ-REOHCLBHSA-L
O-Succinyl-L-homoserine	[NH3+][C@@H](CCOC(=O)CCC(=O)[O-])C(=O)[O-]	GNISQJGXJIDKDJ-YFKPBYRVSA-M
O-Succinylbenzoate	O=C([O-])CCC(=O)c1ccccc1C(=O)[O-]	YIVWQNVQRXFZJB-UHFFFAOYSA-L
O-Succinylbenzoyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)[O-]	KVAQAPQXOXTRAE-HSJNEKGZSA-I
O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)OC(CO)C(O)C1OC1OC(C)C(O)C(O)C1OC(C)=O	WYHMIVUCEAXZMZ-LRILUZMESA-L
O2 O2	O=O	MYMOFIZGZYHOMD-UHFFFAOYSA-N
Octadecanoate (n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)[O-]	QIQXTHQIDYTFRH-UHFFFAOYSA-M
Octadecanoyl-ACP (n-C18:0ACP)	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Octadecenoate (n-C18:1)	CCCCCCCC/C=C\CCCCCCCC(=O)[O-]	ZQPPMHVWECSIRJ-KTKRTIGZSA-M
