6-hydroxymethyl-dihydropterin pyrophosphate	C1C(=NC2=C(N1)N=C(NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-]
6-Phospho-D-gluconate	C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O
6-phospho-D-glucono-1,5-lactone	C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)(O)O
8-Amino-7-oxononanoate	CC(C(=O)CCCCCC(=O)[O-])N
L-alanine-L-glutamate	CC(C(=O)NC(CCC(=O)[O-])C(=O)[O-])[NH3+]
N1-Acetylspermidine	CC(=O)NCCCNCCCCN
N-Methyltryptophan	CNC(CC1=CNC2=CC=CC=C21)C(=O)O
(S)-2-Hydroxyglutarate	C(CC(=O)O)C(C(=O)O)O
S-Formylglutathione	C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N
Aminoacetaldehyde	C(C=O)N
Acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Aminoacetone	CC(=O)CN
Acetate	CC(=O)[O-]
Acetoacetate	CC(=O)CC(=O)[O-]
Acetaldehyde	CC=O
2-N-acetamidomethylphosphonate	CC(=O)NCP(=O)(O)[O-]
N-Acetylanthranilate	CC(=O)NC1=CC=CC=C1C(=O)O
Acetyl-CoA	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
N-Acetyl-L-glutamyl 5-phosphate	CC(=O)NC(CCC(=O)OP(=O)(O)O)C(=O)O
N-Acetyl-L-glutamate 5-semialdehyde	CC(=O)NC(CCC=O)C(=O)O
N-Acetyl-D-galactosamine 1-phosphate	CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)O
N-Acetyl-D-galactosamine	CC(=O)NC1C(C(C(OC1O)CO)O)O
