rxn_IDs	rxnNames	slope	grRules	rxn_formula
MTHFD_REV	Methylenetetrahydrofolate dehydrogenase (NADP) (reversible)	0.893378820760836	b0529	5,10-Methenyltetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.21094 prot_pool[c] => 5,10-Methylenetetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate[c]
ACLS	Acetolactate synthase	0.881047357707803	(b0077 and b0078) or (b3670 and b3671)	H+[c] + 2 Pyruvate[c] + 0.40135 prot_pool[c] => (S)-2-Acetolactate[c] + CO2[c]
KARA1_REV	Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate) (reversible)	0.881047357707803	b3774	(S)-2-Acetolactate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.57766 prot_pool[c] => (R)-2,3-Dihydroxy-3-methylbutanoate[c] + Nicotinamide adenine dinucleotide phosphate[c]
DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.881047357707803	b3771	(R)-2,3-Dihydroxy-3-methylbutanoate[c] + 0.053236 prot_pool[c] => 3-Methyl-2-oxobutanoate[c] + H2O[c]
PFL	Pyruvate formate lyase	0.758923658937994	((b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952) or ((b0902 and b0903) and b2579))	Coenzyme A[c] + Pyruvate[c] + 0.70563 prot_pool[c] => Acetyl-CoA[c] + Formate[c]
PPA	Inorganic diphosphatase	0.523571653686564	b2744 or b2502 or b4226	H2O[c] + Diphosphate[c] + 0.00054796 prot_pool[c] => H+[c] + 2 Phosphate[c]
ASPTA_REV	Aspartate transaminase (reversible)	0.375450570318723	b0928 or b4054	L-Glutamate[c] + Oxaloacetate[c] + 0.005635 prot_pool[c] => 2-Oxoglutarate[c] + L-Aspartate[c]
ASAD_REV	Aspartate-semialdehyde dehydrogenase (reversible)	0.37167750404517	b3433	4-Phospho-L-aspartate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.043086 prot_pool[c] => L-Aspartate 4-semialdehyde[c] + Nicotinamide adenine dinucleotide phosphate[c] + Phosphate[c]
ASPK	Aspartate kinase	0.37167750404517	b0002 or b3940 or b4024	L-Aspartate[c] + ATP[c] + 0.12853 prot_pool[c] => 4-Phospho-L-aspartate[c] + ADP[c]
ICL	Isocitrate lyase	0.37104273515306	b4015	Isocitrate[c] + 0.014268 prot_pool[c] => Glyoxylate[c] + Succinate[c]
MALS	Malate synthase	0.37104273515306	b4014 or b2976	Acetyl-CoA[c] + Glyoxylate[c] + H2O[c] + 0.0047413 prot_pool[c] => Coenzyme A[c] + H+[c] + L-Malate[c]
